S.No,Stock Name,Sector,Market Cap Tier,Index Membership,Typical Volatility,Popularity / Liquidity,Better Suited For,Why,Key Price Drivers,Sector Peers to Compare,Daily Trend,Weekly Trend,Monthly Trend,RSI (14)_x,MACD Signal_x,20 DMA,50 DMA,100 DMA,200 DMA,Last Updated_x,EMA 20,EMA 50,EMA 100,EMA 200,Nearest Support,Nearest Resistance,S/R Respect Note,Today's Move,52W High_x,52W Low_x,% from 52W High_x,% from 52W Low_x,ATR (14)_x,% to Support_x,% to Resistance_x,P/E (Trailing)_x,Dividend Yield %_x,RSI (14)_y,MACD Signal_y,Today Volume,Volume Ratio,Open Interest,ATM Strike,ATM Straddle,PCR (OI),Max Pain,Options Strategy Bias,Last Updated_y,India VIX,52W High_y,52W Low_y,% from 52W High_y,% from 52W Low_y,ATR (14)_y,% to Support_y,% to Resistance_y,P/E (Trailing)_y,Dividend Yield %_y,30D Hist Volatility (%)
37,HDFC Life Insurance Co Ltd,Insurance,Large Cap,Nifty 50,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","IRDAI regulatory changes, VNB margins, product mix, bond yields","SBI Life Insurance Co Ltd, ICICI Prudential Life Insurance Co Ltd, ICICI Lombard General Insurance Co Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,44.25,1.04,3064468.0,1.09,0.0,540.0,23.3,0.75,550.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,803.0,530.5,-32.65,1.95,8.85,1.81,4.19,59.18,38.0,17.82
38,ICICI Prudential Life Insurance Co Ltd,Insurance,Large Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","IRDAI regulatory changes, VNB margins, product mix, bond yields","SBI Life Insurance Co Ltd, HDFC Life Insurance Co Ltd, ICICI Lombard General Insurance Co Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,43.26,-0.55,2199838.0,1.6,0.0,495.0,24.55,0.89,510.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,706.8,459.5,-29.9,7.83,12.09,0.9,6.1,42.6,32.0,21.22
39,ICICI Lombard General Insurance Co Ltd,Insurance,Large Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","IRDAI regulatory changes, VNB margins, product mix, bond yields","SBI Life Insurance Co Ltd, HDFC Life Insurance Co Ltd, ICICI Prudential Life Insurance Co Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,32.61,-3.12,446492.0,0.42,0.0,1560.0,69.15,0.69,1600.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,2064.9,1540.0,-24.2,1.63,24.79,1.6,13.16,32.36,89.0,21.54
40,Life Insurance Corporation of India,Insurance,Large Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","IRDAI regulatory changes, VNB margins, product mix, bond yields","SBI Life Insurance Co Ltd, HDFC Life Insurance Co Ltd, ICICI Prudential Life Insurance Co Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,46.16,0.6,3609510.0,0.19,0.0,410.0,18.25,0.86,420.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,468.48,360.75,-12.27,13.93,8.69,6.11,4.17,8.68,239.0,33.22
41,Multi Commodity Exchange of India Ltd,Capital Markets / Exchange,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,High,High,Buying (Directional),"High to very high volatility, often driven by news flow, ownership/regulatory triggers, or a still-unprofitable/early business model: sudden large moves and gap risk make naked OTM selling dangerous; a long option (defined max loss) fits this profile better than premium selling.","Overall market volumes & volatility (their revenue driver), F&O/STT regulatory changes","Indian Energy Exchange Ltd, BSE Ltd, Central Depository Services (India) Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,64.88,31.81,1505861.0,0.51,0.0,3300.0,229.1,0.81,3200.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,3480.0,1496.0,-5.09,120.79,103.62,22.33,2.94,54.58,24.0,36.28
42,Indian Energy Exchange Ltd,Capital Markets / Exchange,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,High,High,Buying (Directional),"High to very high volatility, often driven by news flow, ownership/regulatory triggers, or a still-unprofitable/early business model: sudden large moves and gap risk make naked OTM selling dangerous; a long option (defined max loss) fits this profile better than premium selling.","Overall market volumes & volatility (their revenue driver), F&O/STT regulatory changes","Multi Commodity Exchange of India Ltd, BSE Ltd, Central Depository Services (India) Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,33.48,-0.64,2633916.0,1.16,0.0,120.0,6.68,0.7,125.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,160.27,114.6,-25.75,3.84,1.81,0.17,10.04,20.91,332.0,22.33
43,BSE Ltd,Capital Markets / Exchange,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,High,High,Buying (Directional),"High to very high volatility, often driven by news flow, ownership/regulatory triggers, or a still-unprofitable/early business model: sudden large moves and gap risk make naked OTM selling dangerous; a long option (defined max loss) fits this profile better than premium selling.","Overall market volumes & volatility (their revenue driver), F&O/STT regulatory changes","Multi Commodity Exchange of India Ltd, Indian Energy Exchange Ltd, Central Depository Services (India) Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,36.56,2.29,3137016.0,0.66,0.0,3200.0,238.4,0.62,3300.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,4446.8,2021.5,-27.21,60.13,97.98,0.64,13.19,47.27,29.0,30.67
44,Central Depository Services (India) Ltd,Capital Markets / Exchange,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,High,High,Buying (Directional),"High to very high volatility, often driven by news flow, ownership/regulatory triggers, or a still-unprofitable/early business model: sudden large moves and gap risk make naked OTM selling dangerous; a long option (defined max loss) fits this profile better than premium selling.","Overall market volumes & volatility (their revenue driver), F&O/STT regulatory changes","Multi Commodity Exchange of India Ltd, Indian Energy Exchange Ltd, BSE Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,55.57,4.58,743240.0,0.59,0.0,1400.0,79.7,0.69,1400.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:19,11.19,1673.7,1116.3,-16.89,24.61,31.04,5.23,3.88,61.6,90.0,18.92
45,Tata Consultancy Services Ltd,IT / Technology,Large Cap,Nifty 50,Low-Medium,Very High,Selling (Premium),"Low/stable volatility + deep liquidity: OTM strikes are cheap to write but stay in a fairly predictable range, tight spreads make entry/exit efficient, and gap risk on results/news is comparatively low.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Infosys Ltd, Wipro Ltd, HCL Technologies Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,53.73,-1.67,2678034.0,0.98,0.0,2360.0,115.75,0.93,2340.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:19,11.19,3350.0,1976.8,-29.68,19.17,54.17,4.75,4.98,17.2,271.0,33.47
46,Infosys Ltd,IT / Technology,Large Cap,Nifty 50,Low-Medium,Very High,Selling (Premium),"Low/stable volatility + deep liquidity: OTM strikes are cheap to write but stay in a fairly predictable range, tight spreads make entry/exit efficient, and gap risk on results/news is comparatively low.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Wipro Ltd, HCL Technologies Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,53.63,-2.62,13516123.0,1.64,0.0,1140.0,64.35,0.72,1140.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,1728.0,982.4,-33.59,16.82,25.42,3.52,4.13,14.97,441.0,29.73
47,Wipro Ltd,IT / Technology,Large Cap,Nifty 50,Medium,Very High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, HCL Technologies Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,49.34,-0.11,6813425.0,0.87,0.0,180.0,8.87,0.79,180.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:19,11.19,273.1,169.0,-33.77,7.02,3.65,2.6,4.24,14.43,434.0,20.14
48,HCL Technologies Ltd,IT / Technology,Large Cap,Nifty 50,Medium,Very High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,59.34,-5.63,4031856.0,2.04,0.0,1350.0,72.1,0.69,1330.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,1780.1,1030.0,-24.04,31.27,30.56,5.33,2.05,21.02,457.0,23.61
49,Tech Mahindra Ltd,IT / Technology,Large Cap,Nifty 50,Medium,Very High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,59.48,-2.3,2412137.0,0.94,0.0,1640.0,81.8,0.93,1620.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:19,11.19,1854.0,1304.1,-11.77,25.44,34.06,4.51,2.79,28.34,313.0,19.64
50,LTIMindtree Ltd,IT / Technology,Large Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,,,,,,,,,,,,,,,,,,,,,,
51,Mphasis Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,59.64,-5.94,932222.0,2.11,0.0,2500.0,165.15,0.68,2450.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,3037.2,2013.0,-17.48,24.5,62.37,4.84,2.02,25.05,255.0,31.83
52,Persistent Systems Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,59.87,-2.85,592977.0,1.3,0.0,5800.0,363.45,0.69,5700.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,6599.0,4244.5,-12.54,35.98,154.93,6.61,2.4,47.56,64.0,30.68
53,Coforge Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,72.33,5.75,2055771.0,0.95,0.0,1980.0,118.65,0.86,1920.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,2021.2,1008.1,-1.84,96.82,46.17,12.05,1.87,40.72,81.0,39.93
54,L&T Technology Services Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,54.11,-5.93,36036.0,0.33,0.0,,,,,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:19,11.19,4726.0,3010.0,-24.33,18.81,90.89,3.25,3.69,29.77,161.0,21.97
55,Oracle Financial Services Software Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,58.62,31.0,208347.0,0.96,0.0,12100.0,814.1,0.71,12000.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:19,11.19,12540.0,6234.5,-3.27,94.56,345.93,6.69,3.38,31.15,546.0,35.93
56,Birlasoft Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,45.65,-1.96,1358901.0,1.19,0.0,,,,,Neutral / Stand Aside,2026-09-01 22:19,11.19,474.0,270.2,-37.55,9.55,9.69,2.96,11.82,14.49,216.0,35.12
57,Info Edge (India) Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,60.89,-8.49,1564601.0,0.78,0.0,1360.0,71.35,0.39,1340.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,1433.6,908.3,-5.24,49.57,33.08,10.0,2.39,54.94,106.0,33.92
58,Intellect Design Arena Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,High,Medium,Buying (Directional),"High to very high volatility, often driven by news flow, ownership/regulatory triggers, or a still-unprofitable/early business model: sudden large moves and gap risk make naked OTM selling dangerous; a long option (defined max loss) fits this profile better than premium selling.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,44.49,0.52,945906.0,3.13,0.0,,,,,Neutral / Stand Aside,2026-09-01 22:19,11.19,1244.6,595.2,-44.3,16.48,16.24,2.85,9.62,27.96,59.0,24.45
59,Tata Elxsi Ltd,IT / Technology,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US/Europe IT budgets, INR-USD rate, US Fed policy & recession fears, large deal wins/losses","Tata Consultancy Services Ltd, Infosys Ltd, Wipro Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,43.32,-9.34,169501.0,0.92,0.0,3600.0,235.2,0.59,3700.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:19,11.19,5950.0,3353.9,-39.33,7.64,82.91,1.19,6.84,34.58,210.0,24.5
60,Sun Pharmaceutical Industries Ltd,Pharma / Healthcare,Large Cap,Nifty 50,Medium,Very High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","US FDA approvals/inspections, US generic pricing, drug launches, currency","Dr Reddys Laboratories Ltd, Cipla Ltd, Lupin Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,50.29,2.71,3595272.0,2.12,0.0,1920.0,60.4,0.64,1920.0,Option Seller: Bear Call Spread (Call Overhang),2026-09-01 22:19,11.19,2046.9,1548.0,-5.86,24.48,35.99,3.05,3.0,38.27,81.0,18.7
61,Dr Reddys Laboratories Ltd,Pharma / Healthcare,Large Cap,Nifty 50,Medium-High,High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","US FDA approvals/inspections, US generic pricing, drug launches, currency","Sun Pharmaceutical Industries Ltd, Cipla Ltd, Lupin Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,44.71,1.03,556259.0,0.34,0.0,1170.0,49.55,0.65,1190.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:19,11.19,1414.9,1101.0,-17.17,6.45,19.61,1.5,3.08,29.49,68.0,20.25
62,Cipla Ltd,Pharma / Healthcare,Large Cap,Nifty 50,Medium-High,High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","US FDA approvals/inspections, US generic pricing, drug launches, currency","Sun Pharmaceutical Industries Ltd, Dr Reddys Laboratories Ltd, Lupin Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,44.33,-3.85,880100.0,1.16,0.0,1420.0,56.3,0.66,1420.0,Neutral / Stand Aside,2026-09-01 22:19,11.19,1673.0,1165.7,-15.3,21.56,20.67,1.12,5.02,34.12,92.0,16.09
